Customer_ID,Online_Security,Online_Backup,Customer_Status
7379-FNIUJ,Yes,Yes,Joined
2585-KTFRE,Yes,Yes,Joined
4854-SSLTN,Yes,Yes,Joined
2792-LSHWX,Yes,Yes,Joined
3090-LETTY,Yes,Yes,Joined
1928-BXYIV,Yes,Yes,Joined
3071-VBYPO,Yes,Yes,Joined
2710-WYVXG,Yes,Yes,Joined
5091-HFAZW,Yes,Yes,Joined
9108-EJFJP,Yes,Yes,Joined
0139-IVFJG,Yes,Yes,Joined
6917-YACBP,Yes,Yes,Stayed
7629-WFGLW,Yes,Yes,Stayed
8760-ZRHKE,Yes,Yes,Stayed
0442-ZXKVS,Yes,Yes,Stayed
2451-YMUXS,Yes,Yes,Stayed
3179-GBRWV,Yes,Yes,Stayed
3740-RLMVT,Yes,Yes,Stayed
3908-MKIMJ,Yes,Yes,Stayed
7130-CTCUS,Yes,Yes,Stayed
7852-LECYP,Yes,Yes,Stayed
8169-SAEJD,Yes,Yes,Stayed
8250-ZNGGW,Yes,Yes,Stayed
8628-MFKAX,Yes,Yes,Stayed
9919-FZDED,Yes,Yes,Stayed
2274-XUATA,Yes,Yes,Stayed
3537-RYBHH,Yes,Yes,Stayed
3982-DQLUS,Yes,Yes,Stayed
5248-RPYWW,Yes,Yes,Stayed
6904-JLBGY,Yes,Yes,Stayed
7005-CYUIL,Yes,Yes,Stayed
7426-GSWPO,Yes,Yes,Stayed
8204-YJCLA,Yes,Yes,Stayed
3244-CQPHU,Yes,Yes,Stayed
3865-ZYKAD,Yes,Yes,Stayed
4806-DXQCE,Yes,Yes,Stayed
4824-GUCBY,Yes,Yes,Stayed
4868-AADLV,Yes,Yes,Stayed
6383-ZTSIW,Yes,Yes,Stayed
7789-CRUVC,Yes,Yes,Stayed
8133-ANHHJ,Yes,Yes,Stayed
8565-WUXZU,Yes,Yes,Stayed
8606-CIQUL,Yes,Yes,Stayed
9058-HRZSV,Yes,Yes,Stayed
9591-YVTEB,Yes,Yes,Stayed
3657-COGMW,Yes,Yes,Stayed
5456-ITGIC,Yes,Yes,Stayed
6646-JPPHA,Yes,Yes,Stayed
7472-EQOAV,Yes,Yes,Stayed
7576-JMYWV,Yes,Yes,Stayed
9699-UBQFS,Yes,Yes,Stayed
1421-HCERK,Yes,Yes,Stayed
1480-BKXGA,Yes,Yes,Stayed
2878-RMWXY,Yes,Yes,Stayed
3108-PCCGG,Yes,Yes,Stayed
3258-SYSWS,Yes,Yes,Stayed
5135-GRQJV,Yes,Yes,Stayed
5451-YHYPW,Yes,Yes,Stayed
5820-PTRYM,Yes,Yes,Stayed
6919-ELBGL,Yes,Yes,Stayed
7446-YPODE,Yes,Yes,Stayed
8406-LNMHF,Yes,Yes,Stayed
9681-KYGYB,Yes,Yes,Stayed
0907-HQNTS,Yes,Yes,Stayed
2388-LAESQ,Yes,Yes,Stayed
3398-GCPMU,Yes,Yes,Stayed
4083-BFNYK,Yes,Yes,Stayed
4118-CEVPF,Yes,Yes,Stayed
4304-XUMGI,Yes,Yes,Stayed
5227-JSCFE,Yes,Yes,Stayed
5897-ZYEKH,Yes,Yes,Stayed
1779-PWPMG,Yes,Yes,Stayed
1986-PHGZF,Yes,Yes,Stayed
2639-UGMAZ,Yes,Yes,Stayed
2673-CXQEU,Yes,Yes,Stayed
3402-XRIUO,Yes,Yes,Stayed
5730-RIITO,Yes,Yes,Stayed
7322-OCWHC,Yes,Yes,Stayed
8041-TMEID,Yes,Yes,Stayed
8166-ORCHU,Yes,Yes,Stayed
3915-ODIYG,Yes,Yes,Stayed
4023-RTIQM,Yes,Yes,Stayed
4667-QONEA,Yes,Yes,Stayed
4782-OSFXZ,Yes,Yes,Stayed
5195-KPUNQ,Yes,Yes,Stayed
5387-ASZNZ,Yes,Yes,Stayed
5981-ZVXOT,Yes,Yes,Stayed
6437-UDQJM,Yes,Yes,Stayed
6458-CYIDZ,Yes,Yes,Stayed
8029-XYPWT,Yes,Yes,Stayed
2205-LPVGL,Yes,Yes,Stayed
2931-VUVJN,Yes,Yes,Stayed
3146-MSEGF,Yes,Yes,Stayed
3898-GUYTS,Yes,Yes,Stayed
6121-TNHBO,Yes,Yes,Stayed
6435-VWCCY,Yes,Yes,Stayed
6689-VRRTK,Yes,Yes,Stayed
7622-FWGEW,Yes,Yes,Stayed
1060-ENTOF,Yes,Yes,Stayed
1258-YMZNM,Yes,Yes,Stayed
1394-SUIUH,Yes,Yes,Stayed
1576-PFZIW,Yes,Yes,Stayed
2057-BOYKM,Yes,Yes,Stayed
2144-BFDSO,Yes,Yes,Stayed
2322-VCZHZ,Yes,Yes,Stayed
3219-JQRSL,Yes,Yes,Stayed
4250-WAROZ,Yes,Yes,Stayed
4334-HOWRP,Yes,Yes,Stayed
4827-LTQRJ,Yes,Yes,Stayed
8016-NCFVO,Yes,Yes,Stayed
8261-GWDBQ,Yes,Yes,Stayed
8752-GHJFU,Yes,Yes,Stayed
0248-PGHBZ,Yes,Yes,Stayed
0336-PIKEI,Yes,Yes,Stayed
2176-LVPNX,Yes,Yes,Stayed
3786-WOVKF,Yes,Yes,Stayed
3841-NFECX,Yes,Yes,Stayed
4007-NHVHI,Yes,Yes,Stayed
4654-DLAMQ,Yes,Yes,Stayed
4726-DLWQN,Yes,Yes,Stayed
6963-EZQEE,Yes,Yes,Stayed
7868-TMWMZ,Yes,Yes,Stayed
9470-YFUYI,Yes,Yes,Stayed
9481-IEBZY,Yes,Yes,Stayed
2186-QZEYA,Yes,Yes,Stayed
2615-YVMYX,Yes,Yes,Stayed
5828-DWPIL,Yes,Yes,Stayed
5996-NRVXR,Yes,Yes,Stayed
6522-YRBXD,Yes,Yes,Stayed
7503-MIOGA,Yes,Yes,Stayed
7537-CBQUZ,Yes,Yes,Stayed
7905-NJMXS,Yes,Yes,Stayed
7923-IYJWY,Yes,Yes,Stayed
8065-QBYTO,Yes,Yes,Stayed
8336-TAVKX,Yes,Yes,Stayed
9052-VKDUW,Yes,Yes,Stayed
0013-SMEOE,Yes,Yes,Stayed
2000-DHJUY,Yes,Yes,Stayed
3197-ARFOY,Yes,Yes,Stayed
3518-FSTWG,Yes,Yes,Stayed
3605-JISKB,Yes,Yes,Stayed
8050-DVOJX,Yes,Yes,Stayed
8707-RMEZH,Yes,Yes,Stayed
9278-VZKCD,Yes,Yes,Stayed
4833-QTJNO,Yes,Yes,Stayed
8024-XNAFQ,Yes,Yes,Stayed
1568-BEKZM,Yes,Yes,Stayed
2055-BFOCC,Yes,Yes,Stayed
5371-VYLSX,Yes,Yes,Stayed
6734-FQAJX,Yes,Yes,Stayed
0254-KCJGT,Yes,Yes,Stayed
1371-DWPAZ,Yes,Yes,Stayed
1575-KRZZE,Yes,Yes,Stayed
2882-WDTBA,Yes,Yes,Stayed
2925-VDZHY,Yes,Yes,Stayed
2927-CVULT,Yes,Yes,Stayed
3316-UWXUY,Yes,Yes,Stayed
3948-KXDUF,Yes,Yes,Stayed
4374-YMUSQ,Yes,Yes,Stayed
4701-LKOZD,Yes,Yes,Stayed
5129-HHMZC,Yes,Yes,Stayed
5206-HPJKM,Yes,Yes,Stayed
5727-MYATE,Yes,Yes,Stayed
6736-DHUQI,Yes,Yes,Stayed
8401-EMUWF,Yes,Yes,Stayed
8619-IJNDK,Yes,Yes,Stayed
8780-YRMTT,Yes,Yes,Stayed
9225-BZLNZ,Yes,Yes,Stayed
9637-CDTKZ,Yes,Yes,Stayed
0206-TBWLC,Yes,Yes,Stayed
0864-FVJNJ,Yes,Yes,Stayed
1053-MXTTK,Yes,Yes,Stayed
1084-MNSMJ,Yes,Yes,Stayed
1488-PBLJN,Yes,Yes,Stayed
1810-BOHSY,Yes,Yes,Stayed
2088-IEBAU,Yes,Yes,Stayed
2252-NKNSI,Yes,Yes,Stayed
2380-DAMQP,Yes,Yes,Stayed
6253-GNHWH,Yes,Yes,Stayed
6701-YVNQG,Yes,Yes,Stayed
7963-SHNDT,Yes,Yes,Stayed
8071-SBTRN,Yes,Yes,Stayed
8992-VONJD,Yes,Yes,Stayed
8999-YPYBV,Yes,Yes,Stayed
9408-HRXRK,Yes,Yes,Stayed
0123-CRBRT,Yes,Yes,Stayed
0237-YFUTL,Yes,Yes,Stayed
0270-THENM,Yes,Yes,Stayed
0562-KBDVM,Yes,Yes,Stayed
1301-LOPVR,Yes,Yes,Stayed
1319-YLZJG,Yes,Yes,Stayed
2606-PKWJB,Yes,Yes,Stayed
3638-VBZTA,Yes,Yes,Stayed
5590-ZSKRV,Yes,Yes,Stayed
5740-YHGTW,Yes,Yes,Stayed
6137-MFAJN,Yes,Yes,Stayed
6353-BRMMA,Yes,Yes,Stayed
8197-BFWVU,Yes,Yes,Stayed
8496-DMZUK,Yes,Yes,Stayed
8547-NSBBO,Yes,Yes,Stayed
8626-PTQGE,Yes,Yes,Stayed
8809-XKHMD,Yes,Yes,Stayed
9036-CSKBW,Yes,Yes,Stayed
9786-YWNHU,Yes,Yes,Stayed
0301-FIDRB,Yes,Yes,Stayed
0562-FGDCR,Yes,Yes,Stayed
0675-NCDYU,Yes,Yes,Stayed
0868-VJRDR,Yes,Yes,Stayed
1163-ONYEY,Yes,Yes,Stayed
1960-UOTYM,Yes,Yes,Stayed
2378-YIZKA,Yes,Yes,Stayed
2977-CEBSX,Yes,Yes,Stayed
3617-XLSGQ,Yes,Yes,Stayed
4940-KHCWD,Yes,Yes,Stayed
5707-ZMDJP,Yes,Yes,Stayed
5795-KTGUD,Yes,Yes,Stayed
6169-PGNCD,Yes,Yes,Stayed
6445-TNRXS,Yes,Yes,Stayed
6463-HHXJR,Yes,Yes,Stayed
6682-VCIXC,Yes,Yes,Stayed
7873-CVMAW,Yes,Yes,Stayed
8097-VBQTZ,Yes,Yes,Stayed
8328-SKJNO,Yes,Yes,Stayed
8468-FZTOE,Yes,Yes,Stayed
0060-FUALY,Yes,Yes,Stayed
0379-DJQHR,Yes,Yes,Stayed
2348-KCJLT,Yes,Yes,Stayed
2680-XKKNJ,Yes,Yes,Stayed
2834-JKOOW,Yes,Yes,Stayed
3096-WPXBT,Yes,Yes,Stayed
3442-ZHHCC,Yes,Yes,Stayed
6047-SUHPR,Yes,Yes,Stayed
6234-RAAPL,Yes,Yes,Stayed
7055-JCGNI,Yes,Yes,Stayed
8221-HVAYI,Yes,Yes,Stayed
9127-FHJBZ,Yes,Yes,Stayed
9742-XOKTS,Yes,Yes,Stayed
9924-JPRMC,Yes,Yes,Stayed
0853-TWRVK,Yes,Yes,Stayed
0973-KYVNF,Yes,Yes,Stayed
1036-GUDCL,Yes,Yes,Stayed
2931-SVLTV,Yes,Yes,Stayed
3224-DFQNQ,Yes,Yes,Stayed
3569-VLDHH,Yes,Yes,Stayed
3842-QTGDL,Yes,Yes,Stayed
4002-BQWPQ,Yes,Yes,Stayed
4077-HWUYD,Yes,Yes,Stayed
4825-XJGDM,Yes,Yes,Stayed
5181-OABFK,Yes,Yes,Stayed
6685-GBWJZ,Yes,Yes,Stayed
6885-PKOAM,Yes,Yes,Stayed
7103-ZGVNT,Yes,Yes,Stayed
7113-HIPFI,Yes,Yes,Stayed
7197-VOJMM,Yes,Yes,Stayed
7579-KKLOE,Yes,Yes,Stayed
7718-UPSKJ,Yes,Yes,Stayed
8608-OZTLB,Yes,Yes,Stayed
9867-XOBQA,Yes,Yes,Stayed
0455-ENTCR,Yes,Yes,Stayed
0824-VWDPO,Yes,Yes,Stayed
1325-USMEC,Yes,Yes,Stayed
1841-YSJGV,Yes,Yes,Stayed
3642-GKTCT,Yes,Yes,Stayed
3795-GWTRD,Yes,Yes,Stayed
3884-UEBXB,Yes,Yes,Stayed
4525-VZCZG,Yes,Yes,Stayed
5914-XRFQB,Yes,Yes,Stayed
6177-PEVRA,Yes,Yes,Stayed
7321-ZNSLA,Yes,Yes,Stayed
8109-YUOHE,Yes,Yes,Stayed
8984-HPEMB,Yes,Yes,Stayed
9739-JLPQJ,Yes,Yes,Stayed
9746-MDMBK,Yes,Yes,Stayed
9938-EKRGF,Yes,Yes,Stayed
0076-LVEPS,Yes,Yes,Stayed
0289-IVARM,Yes,Yes,Stayed
1032-MAELW,Yes,Yes,Stayed
1950-KSVVJ,Yes,Yes,Stayed
1951-IEYXM,Yes,Yes,Stayed
2192-CKRLV,Yes,Yes,Stayed
2581-VKIRT,Yes,Yes,Stayed
3669-WHAFY,Yes,Yes,Stayed
4674-HGNUA,Yes,Yes,Stayed
5032-USPKF,Yes,Yes,Stayed
5668-MEISB,Yes,Yes,Stayed
5753-QQWPW,Yes,Yes,Stayed
6007-TCTST,Yes,Yes,Stayed
6203-HBZPA,Yes,Yes,Stayed
6480-YAGIY,Yes,Yes,Stayed
6810-VCAEX,Yes,Yes,Stayed
6891-JPYFF,Yes,Yes,Stayed
6916-HIJSE,Yes,Yes,Stayed
7078-NVFAM,Yes,Yes,Stayed
7746-QYVCO,Yes,Yes,Stayed
9558-IHEZX,Yes,Yes,Stayed
0164-APGRB,Yes,Yes,Stayed
0378-CJKPV,Yes,Yes,Stayed
0771-CHWSK,Yes,Yes,Stayed
1320-GVNHT,Yes,Yes,Stayed
2239-CGBUZ,Yes,Yes,Stayed
2775-SEFEE,Yes,Yes,Stayed
3533-UVMOM,Yes,Yes,Stayed
3557-HTYWR,Yes,Yes,Stayed
3658-QQJYD,Yes,Yes,Stayed
3870-SPZSI,Yes,Yes,Stayed
3892-NXAZG,Yes,Yes,Stayed
4291-TPNFG,Yes,Yes,Stayed
4568-KNYWR,Yes,Yes,Stayed
5614-DNZCE,Yes,Yes,Stayed
5696-JVVQY,Yes,Yes,Stayed
5716-EZXZN,Yes,Yes,Stayed
6087-YPWHO,Yes,Yes,Stayed
6115-ZTBFQ,Yes,Yes,Stayed
6500-JVEGC,Yes,Yes,Stayed
7399-QHBJS,Yes,Yes,Stayed
7639-OPLNG,Yes,Yes,Stayed
7781-HVGMK,Yes,Yes,Stayed
8046-DNVTL,Yes,Yes,Stayed
8331-ZXFOE,Yes,Yes,Stayed
8480-PPONV,Yes,Yes,Stayed
9351-LZYGF,Yes,Yes,Stayed
0106-UGRDO,Yes,Yes,Stayed
0885-HMGPY,Yes,Yes,Stayed
1154-HYWWO,Yes,Yes,Stayed
2580-ATZSQ,Yes,Yes,Stayed
2990-IAJSV,Yes,Yes,Stayed
3508-CFVZL,Yes,Yes,Stayed
4565-EVZMJ,Yes,Yes,Stayed
5203-XEHAX,Yes,Yes,Stayed
5760-FXFVO,Yes,Yes,Stayed
6663-JOCQO,Yes,Yes,Stayed
7048-GXDAY,Yes,Yes,Stayed
7164-BPTUT,Yes,Yes,Stayed
8224-UAXBZ,Yes,Yes,Stayed
8738-JOKAR,Yes,Yes,Stayed
9778-OGKQZ,Yes,Yes,Stayed
9823-EALYC,Yes,Yes,Stayed
0285-INHLN,Yes,Yes,Stayed
0810-BDHAW,Yes,Yes,Stayed
1172-VIYBP,Yes,Yes,Stayed
1621-YNCJH,Yes,Yes,Stayed
2371-KFUOG,Yes,Yes,Stayed
2616-UUTFK,Yes,Yes,Stayed
4393-GEADV,Yes,Yes,Stayed
4672-FOTSD,Yes,Yes,Stayed
5393-HJZSM,Yes,Yes,Stayed
6198-PNNSZ,Yes,Yes,Stayed
6627-CFOSN,Yes,Yes,Stayed
8663-UPDGF,Yes,Yes,Stayed
9769-TSBZE,Yes,Yes,Stayed
0229-LFJAF,Yes,Yes,Stayed
0730-KOAVE,Yes,Yes,Stayed
0909-SELIE,Yes,Yes,Stayed
1227-UDMZR,Yes,Yes,Stayed
1696-HXOWK,Yes,Yes,Stayed
4139-DETXS,Yes,Yes,Stayed
5945-AZYHT,Yes,Yes,Stayed
7359-WWYJV,Yes,Yes,Stayed
8015-IHCGW,Yes,Yes,Stayed
9242-TKFSV,Yes,Yes,Stayed
9385-NXKDA,Yes,Yes,Stayed
9927-DSWDF,Yes,Yes,Stayed
0215-BQKGS,Yes,Yes,Stayed
0365-TRTPY,Yes,Yes,Stayed
0742-LAFQK,Yes,Yes,Stayed
1729-VLAZJ,Yes,Yes,Stayed
1971-DTCZB,Yes,Yes,Stayed
2863-IMQDR,Yes,Yes,Stayed
3059-NGMXB,Yes,Yes,Stayed
3227-WLKLI,Yes,Yes,Stayed
3639-XJHKQ,Yes,Yes,Stayed
3889-VWBID,Yes,Yes,Stayed
3913-FCUUW,Yes,Yes,Stayed
4376-KFVRS,Yes,Yes,Stayed
4973-RLZVI,Yes,Yes,Stayed
5140-FOMCQ,Yes,Yes,Stayed
5275-PMFUT,Yes,Yes,Stayed
5453-YBTWV,Yes,Yes,Stayed
7169-YWAMK,Yes,Yes,Stayed
7570-WELNY,Yes,Yes,Stayed
8404-VIOMB,Yes,Yes,Stayed
9308-ANMVE,Yes,Yes,Stayed
9489-DEDVP,Yes,Yes,Stayed
9500-IWPXQ,Yes,Yes,Stayed
9770-KXGQU,Yes,Yes,Stayed
1708-PBBOA,Yes,Yes,Stayed
2000-MPKCA,Yes,Yes,Stayed
2040-XBAVJ,Yes,Yes,Stayed
2323-ARSVR,Yes,Yes,Stayed
2558-BUOZZ,Yes,Yes,Stayed
3050-RLLXC,Yes,Yes,Stayed
3541-ZNUHK,Yes,Yes,Stayed
4102-HLENU,Yes,Yes,Stayed
4676-WLUHT,Yes,Yes,Stayed
5153-LXKDT,Yes,Yes,Stayed
5223-UZAVK,Yes,Yes,Stayed
5353-WILCI,Yes,Yes,Stayed
6519-ZHPXP,Yes,Yes,Stayed
7176-WRTNX,Yes,Yes,Stayed
7459-IMVYU,Yes,Yes,Stayed
7925-PNRGI,Yes,Yes,Stayed
7998-WNZEM,Yes,Yes,Stayed
8565-HBFNN,Yes,Yes,Stayed
8582-KRHPJ,Yes,Yes,Stayed
8819-ZBYNA,Yes,Yes,Stayed
8869-LIHMK,Yes,Yes,Stayed
9073-ZZIAY,Yes,Yes,Stayed
9625-QNLUX,Yes,Yes,Stayed
0310-SUCIN,Yes,Yes,Stayed
0743-HNPFG,Yes,Yes,Stayed
1545-JFUML,Yes,Yes,Stayed
2039-JONDJ,Yes,Yes,Stayed
5073-RZGBK,Yes,Yes,Stayed
6067-NGCEU,Yes,Yes,Stayed
6369-MCAKO,Yes,Yes,Stayed
6439-PKTRR,Yes,Yes,Stayed
6620-HVDUJ,Yes,Yes,Stayed
6741-QRLUP,Yes,Yes,Stayed
7633-MVPUY,Yes,Yes,Stayed
7880-XSOJX,Yes,Yes,Stayed
8189-HBVRW,Yes,Yes,Stayed
8513-OLYGY,Yes,Yes,Stayed
8671-KKKOS,Yes,Yes,Stayed
9079-LWTFD,Yes,Yes,Stayed
9253-VIFJQ,Yes,Yes,Stayed
9348-ROUAI,Yes,Yes,Stayed
9803-FTJCG,Yes,Yes,Stayed
1265-HVPZB,Yes,Yes,Stayed
2651-ZCBXV,Yes,Yes,Stayed
2789-CZANW,Yes,Yes,Stayed
3134-DSHVC,Yes,Yes,Stayed
3470-OBUET,Yes,Yes,Stayed
5061-PBXFW,Yes,Yes,Stayed
5176-OLSKT,Yes,Yes,Stayed
5448-VWNAM,Yes,Yes,Stayed
5879-HMFFH,Yes,Yes,Stayed
6434-TTGJP,Yes,Yes,Stayed
7707-PYBBH,Yes,Yes,Stayed
8099-MZPUJ,Yes,Yes,Stayed
8400-WZICQ,Yes,Yes,Stayed
8690-ZVLCL,Yes,Yes,Stayed
9372-TXXPS,Yes,Yes,Stayed
9786-IJYDL,Yes,Yes,Stayed
0536-ESJEP,Yes,Yes,Stayed
0730-BGQGF,Yes,Yes,Stayed
1866-NXPSP,Yes,Yes,Stayed
2038-YSEZE,Yes,Yes,Stayed
2077-DDHJK,Yes,Yes,Stayed
2234-EOFPT,Yes,Yes,Stayed
2272-WUSPA,Yes,Yes,Stayed
2587-EKXTS,Yes,Yes,Stayed
2716-GFZOR,Yes,Yes,Stayed
3429-IFLEM,Yes,Yes,Stayed
3655-SNQYZ,Yes,Yes,Stayed
5125-CNDSP,Yes,Yes,Stayed
5457-COLHT,Yes,Yes,Stayed
5781-BKHOP,Yes,Yes,Stayed
5980-BDHPY,Yes,Yes,Stayed
6388-TABGU,Yes,Yes,Stayed
9518-IMLHK,Yes,Yes,Stayed
9670-BPNXF,Yes,Yes,Stayed
1090-ESELR,Yes,Yes,Stayed
1209-VFFOC,Yes,Yes,Stayed
1976-AZZPJ,Yes,Yes,Stayed
2133-TSRRM,Yes,Yes,Stayed
2193-SFWQW,Yes,Yes,Stayed
2250-IVBWA,Yes,Yes,Stayed
2364-UFROM,Yes,Yes,Stayed
3084-DOWLE,Yes,Yes,Stayed
3520-FJGCV,Yes,Yes,Stayed
3969-JQABI,Yes,Yes,Stayed
4227-OJHAL,Yes,Yes,Stayed
4431-EDMIQ,Yes,Yes,Stayed
5056-FIMPT,Yes,Yes,Stayed
5325-UWTWJ,Yes,Yes,Stayed
5566-SOEZD,Yes,Yes,Stayed
5915-DGNVC,Yes,Yes,Stayed
6114-TCFID,Yes,Yes,Stayed
6266-QHOJZ,Yes,Yes,Stayed
6439-LAJXL,Yes,Yes,Stayed
6478-HRRCZ,Yes,Yes,Stayed
6807-SIWJI,Yes,Yes,Stayed
7054-DMVAS,Yes,Yes,Stayed
8106-GWQOK,Yes,Yes,Stayed
8207-DMRVL,Yes,Yes,Stayed
9297-EONCV,Yes,Yes,Stayed
0074-HDKDG,Yes,Yes,Stayed
0320-DWVTU,Yes,Yes,Stayed
0975-UYDTX,Yes,Yes,Stayed
1110-KYLGQ,Yes,Yes,Stayed
2270-CHBFN,Yes,Yes,Stayed
2773-MADBQ,Yes,Yes,Stayed
3466-WAESX,Yes,Yes,Stayed
3487-EARAT,Yes,Yes,Stayed
4304-TSPVK,Yes,Yes,Stayed
4778-IZARL,Yes,Yes,Stayed
4890-VMUAV,Yes,Yes,Stayed
5803-NQJZO,Yes,Yes,Stayed
5930-GBIWP,Yes,Yes,Stayed
6164-HAQTX,Yes,Yes,Stayed
6461-SZMCV,Yes,Yes,Stayed
6479-VDGRK,Yes,Yes,Stayed
